id,coodx,coody,z1,z2,z3,target,trend
0,0,0,1.4761207356569137,0.6221089460808072,2.622553587924207,2.855309790625712,0.0
1,1,0,1.5678932237917471,0.5955441901313924,2.7067083693550087,3.0170655713209213,0.0757575757575757
2,2,0,1.6532198755610703,0.6086085169820943,2.7794565031945204,3.189578711079564,0.1515151515151515
3,3,0,1.7313571032970083,0.7603654229277688,2.8399202831709487,3.426155346876468,0.2272727272727273
4,4,0,1.8014968005991,0.4125020805664802,2.887314595138421,3.3762605886932406,0.303030303030303
5,5,0,1.862783105946134,0.2402696086069249,2.9209532124263533,3.4088767177868835,0.3787878787878788
6,6,0,1.9143321581536796,-0.2145061717744385,2.940254281174304,3.2722446936007463,0.4545454545454546
7,7,0,1.95525408519885,-0.6951522845656297,2.9447449534804213,3.106217778173814,0.5303030303030303
8,8,0,1.9846764336460656,-0.7768633850647735,2.9340651331836427,3.142826641872863,0.6060606060606061
9,9,0,2.001768241339633,-1.1110133434024072,2.907970306358395,3.024754607629718,0.6818181818181819
10,10,0,2.0057639789170305,-1.1233358266095248,2.866333436066673,3.0661081162082784,0.7575757575757576
11,11,0,1.9959866328590716,-1.3029536829308368,2.80914590852435,2.9986746897184524,0.8333333333333333
12,12,0,1.9718692703376048,-1.7309320404465858,2.7365175255335745,2.77787723041405,0.9090909090909092
13,13,0,1.932974509666784,-1.8730951798520497,2.648675545749508,2.6962609225296283,0.984848484848485
14,14,0,1.8790114150763149,-2.32306237406437,2.545962785022663,2.428799396699357,1.0606060606060606
15,15,0,1.809849436142963,-2.441012421930079,2.428834793627221,2.326200896328917,1.1363636363636365
16,16,0,1.72552911606889,-2.4556705455510084,2.297856135588087,2.2636047963243917,1.2121212121212122
17,17,0,1.6262693949914984,-2.6336270440883767,2.153695802495904,2.095564537719478,1.2878787878787878
18,18,0,1.5124714310992236,-2.4211201223708936,1.997121801092139,2.126110413384751,1.3636363636363638
19,19,0,1.3847189506249074,-2.491861463836431,1.8289949604596507,1.9871050854358163,1.4393939393939392
20,20,0,1.243775215649256,-2.3828007903187705,1.650262010816278,1.9331824170197645,1.5151515151515151
21,21,0,1.090576764708561,-2.1556397243398133,1.4619479916302602,1.9316906827717957,1.590909090909091
22,22,0,0.926224134873047,-2.227198954471595,1.2651480520120018,1.7555943516287034,1.6666666666666663
23,23,0,0.7519698153801958,-1.9873659602203773,1.0610187110453386,1.740443726383213,1.7424242424242424
24,24,0,0.5692037128471381,-2.0460209850650464,0.8507686498666497,1.5536698920686778,1.8181818181818183
25,25,0,0.3794364278495598,-2.077794271410241,0.6356491108498336,1.3750455275323723,1.893939393939394
26,26,0,0.1842806539323223,-1.935780986016244,0.4169439821824827,1.2866627882685946,1.96969696969697
27,27,0,-0.0145689851640308,-2.120105182869694,0.1959596484019056,1.016274060499126,2.0454545454545454
28,28,0,-0.2153573441104914,-1.9937450970348407,-0.0259853109175756,0.9145078359127796,2.121212121212121
29,29,0,-0.4162910969333261,-2.050525252234828,-0.2475704911829617,0.7126209502153802,2.196969696969697
30,30,0,-0.6155617001534689,-2.1274200986972627,-0.4674840180885342,0.5016426149164781,2.272727272727273
31,31,0,-0.8113686708579226,-1.9137107317097135,-0.6844328051927071,0.4534801337990335,2.3484848484848486
32,32,0,-1.0019428738855525,-1.9945287833721488,-0.8971526318208188,0.2493288331603858,2.4242424242424243
33,33,0,-1.1855695118657028,-1.8237255081440784,-1.104417961080033,0.1899601668314141,2.5
34,34,0,-1.3606105095720813,-1.8193953583780111,-1.3050514201459251,0.047939469910665,2.575757575757576
35,35,0,-1.5255259805181272,-2.023791002699604,-1.497932867974714,-0.1983952798226642,2.6515151515151514
36,36,0,-1.6788944599577085,-1.9615640469040283,-1.6820079791828453,-0.2873038252004485,2.7272727272727275
37,37,0,-1.8194315858941688,-2.137542467310212,-1.856296276985908,-0.494024150582748,2.803030303030303
38,38,0,-1.9460069100483903,-1.9977993479308025,-2.019898552764834,-0.514016600522345,2.8787878787878785
39,39,0,-2.0576585258607407,-1.7900159951528136,-2.172003614989079,-0.4819380368765977,2.9545454545454546
40,40,0,-2.1536052123820317,-1.8111338417842269,-2.311894315829845,-0.5595735079299198,3.0303030303030303
41,41,0,-2.2332558130917173,-1.6426844652236288,-2.438952809793705,-0.5170171630487279,3.106060606060606
42,42,0,-2.296215598734068,-1.8380066358338103,-2.552665005047833,-0.656805082592046,3.181818181818182
43,43,0,-2.34228940423342,-1.917763442122232,-2.652624174739204,-0.7160187476994846,3.257575757575758
44,44,0,-2.3714813821548804,-1.8274123100710291,-2.738533702476168,-0.6645760778586896,3.333333333333333
45,45,0,-2.3839912789072693,-1.8779849291988573,-2.8102089431851387,-0.6727949110440035,3.409090909090909
46,46,0,-2.380207214150579,-1.6152304263094184,-2.867578187719296,-0.4919946636040326,3.484848484848485
47,47,0,-2.36069502717457,-1.6309451908989685,-2.910682726821173,-0.4465978155032868,3.560606060606061
48,48,0,-2.3261843441751022,-1.7220092683863082,-2.939676017268644,-0.4257857948208912,3.6363636363636367
49,49,0,-2.277551614559103,-1.7212332609892846,-2.954821960203829,-0.338563763393561,3.712121212121213
50,50,0,-2.215800459311562,-1.9556630506364536,-2.956492308700533,-0.3647738301613659,3.787878787878788
51,51,0,-2.142039766310233,-1.86369852337648,-2.9451632285098786,-0.1976475541820939,3.8636363636363633
52,52,0,-2.057460052286869,-1.8613048227922917,-2.921411042581193,-0.0659583648657196,3.93939393939394
53,53,0,-1.9633086848573305,-1.937032258901885,-2.8859071963338274,0.0355323679017187,4.015151515151516
54,54,0,-1.8608646167665053,-1.8892994987252052,-2.83941248670332,0.2161253576376176,4.090909090909091
55,55,0,-1.751413324645639,-2.1535443437425665,-2.78277060365706,0.2361500365574027,4.166666666666667
56,56,0,-1.6362226631230343,-2.205700205006752,-2.716901038124312,0.3814323169640348,4.242424242424242
57,57,0,-1.5165203397447884,-2.2446492571402894,-2.642791415074526,0.5417925417119935,4.318181818181818
58,58,0,-1.3934736854024257,-2.342296497615269,-2.561489314768864,0.6765839243368221,4.393939393939394
59,59,0,-1.2681723383776011,-2.215306993967723,-2.474093648971513,0.9397310496641244,4.46969696969697
60,60,0,-1.1416143783233206,-2.3746400630107938,-2.381745662112183,1.050116637442455,4.545454545454546
61,61,0,-1.0146963412432366,-2.474383589242369,-2.2856196300161478,1.1959732747579324,4.621212121212121
62,62,0,-0.8882074206379834,-2.585388236798497,-2.1869133308459165,1.337294559524989,4.696969696969697
63,63,0,-0.7628280173232105,-2.845461105167788,-2.086838364316261,1.3974394198998068,4.7727272727272725
64,64,0,-0.6391326457678109,-2.819945340611393,-1.986610396043916,1.6133626833668302,4.848484848484849
65,65,0,-0.5175970436812551,-2.8840994729335185,-1.887439404072808,1.778458448204554,4.924242424242424
